"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn6.2719",2674,"transferases, transferring glycosyl groups [0.457]","transferases, transferring glycosyl groups","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn6.2720",349,"Calcium-binding EF-hand family protein [0.475] | Centrin-1 [0.150] | Centrin-2 [0.133] | centrin 2 [0.067] | calmodulin 8 [0.050] | calmodulin 1 [0.042] | Centrin-4 [0.017] | Protein yippee-like [0.008] | calmodulin 5 [0.008] | calmodulin 9 [0.008] | calmodulin 4 [0.008] | calmodulin 6 [0.008] | DnaJ homolog subfamily C member 2 [0.008] | Calcium-binding protein KIC [0.008] | Inosine triphosphate pyrophosphatase family protein [0.008]","Calcium-binding EF-hand family protein | pinoid-binding protein 1","EF-hand_8 (PF13833) [1.000] | Yippee-Mis18 (PF03226) [0.008] | Myb_DNA-binding (PF00249) [0.008]","chromatin binding (GO:0003682) [0.008]","NULL / Representative annotation below 0.1%","5"
"Pn6.2762",1004,"Ubiquitin-specific protease family C19-related protein [1.000]","Ubiquitin-specific protease family C19-related protein","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn6.2842",313,"LAG1 longevity assurance homolog 3 [0.310] | F-box/RNI-like superfamily protein [0.254] | F-box/RNI-like/FBD-like domains-containing protein [0.238] | FBD-associated F-box protein [0.135] | F-box/FBD/LRR-repeat protein [0.048]","F-box/RNI-like superfamily protein | LAG1 longevity assurance homolog 3","F-box (PF00646) [0.524] | TRAM_LAG1_CLN8 (PF03798) [0.310] | FBD (PF08387) [0.246] | LRR_2 (PF07723) [0.143] | F-box-like (PF12937) [0.008] | LIM (PF00412) [0.008]","protein binding (GO:0005515) [0.524] | zinc ion binding (GO:0008270) [0.008]","NULL / Representative annotation below 0.1%","1"
"Pn6.2951",1840,"myb domain protein 3 [0.364] | myb domain protein 7 [0.273] | myb domain protein 5 [0.127] | myb domain protein 111 [0.073] | myb domain protein 4 [0.073] | myb domain protein 12 [0.036] | myb domain protein 6 [0.018] | myb domain protein 13 [0.018]","Duplicated homeodomain-like superfamily protein","Myb_DNA-binding (PF00249) [0.982]","chromatin binding (GO:0003682) [0.982]","NULL / Representative annotation below 0.1%","1"
"Pn6.3108",2015,"Major facilitator superfamily protein [1.000]","Major facilitator superfamily protein | nitrate transporter 1:2","PTR2 (PF00854) [1.000] | PPR_2 (PF13041) [0.019] | PPR_3 (PF13812) [0.019]","transporter activity (GO:0005215) [1.000]","transport (GO:0006810) [1.000]","6"
"Pn6.3109",7278,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 [1.000]","Protein of unknown function (DUF185)","Methyltransf_28 (PF02636) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn6.3190",2015,"Major facilitator superfamily protein [1.000]","Major facilitator superfamily protein | nitrate transporter 1:2","PTR2 (PF00854) [1.000] | PPR_2 (PF13041) [0.019] | PPR_3 (PF13812) [0.019]","transporter activity (GO:0005215) [1.000]","transport (GO:0006810) [1.000]","5"
"Pn6.3215",4896,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [1.000]","P-loop containing nucleoside triphosphate hydrolases superfamily protein","AAA (PF00004) [1.000]","ATP binding (GO:0005524) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn6.3307",3967,"tRNA (guanine(26)-N(2))-dimethyltransferase [1.000]","N2,N2-dimethylguanosine tRNA methyltransferase","TRM (PF02005) [1.000]","RNA binding (GO:0003723) [1.000] | tRNA (guanine-N2-)-methyltransferase activity (GO:0004809) [1.000]","tRNA processing (GO:0008033) [1.000]","3"
"Pn6.337",3063,"Amidophosphoribosyltransferase [1.000]","GLN phosphoribosyl pyrophosphate amidotransferase 3 | GLN phosphoribosyl pyrophosphate amidotransferase 2 | GLN phosphoribosyl pyrophosphate amidotransferase 1","Pribosyltran (PF00156) [0.976] | GATase_7 (PF13537) [0.976]","NULL / Representative annotation below 0.1%","metabolic process (GO:0008152) [0.976] | nucleoside metabolic process (GO:0009116) [0.976]","5"
"Pn6.3374",3967,"tRNA (guanine(26)-N(2))-dimethyltransferase [1.000]","N2,N2-dimethylguanosine tRNA methyltransferase","TRM (PF02005) [1.000]","RNA binding (GO:0003723) [1.000] | tRNA (guanine-N2-)-methyltransferase activity (GO:0004809) [1.000]","tRNA processing (GO:0008033) [1.000]","3"
"Pn6.339",25,"ABC transporter family protein [0.791] | ABC transporter B family member 20 [0.051] | ABC transporter B family member 1 [0.043] | ABC transporter B family member 19 [0.037] | ABC transporter B family member 2 [0.018] | ABC transporter B family member 6 [0.012] | ABC transporter B family member 21 [0.008] | ABC transporter B family member 10 [0.006] | ABC transporter B family member 4 [0.006] | ABC transporter B family member 13 [0.006] | ABC transporter B family member 9 [0.004] | ABC transporter B family member 3 [0.004] | ABC transporter B family member 11 [0.004] | ABC transporter B family member 14 [0.004] | ABC transporter B family member 12 [0.002] | ABC transporter B family member 5 [0.002] | ABC transporter B family member 7 [0.002]","ABC transporter family protein | P-glycoprotein 21 | P-glycoprotein 11 | P-glycoprotein 5 | P-glycoprotein  20 | P-glycoprotein 13 | P-glycoprotein 12 | P-glycoprotein 6 | P-glycoprotein 17 | P-glycoprotein  9 | P-glycoprotein 14 | P-glycoprotein 2 | P-glycoprotein  7 | ATP binding cassette subfamily B19 | P-glycoprotein 10 | ATP binding cassette subfamily B4 | P-glycoprotein 3 | P-glycoprotein 16 | ATP binding cassette subfamily B1 | P-glycoprotein 18","ABC_membrane (PF00664) [0.998] | ABC_tran (PF00005) [0.998] | DUF936 (PF06075) [0.002] | PAH (PF02671) [0.002]","ATP binding (GO:0005524) [1.000] | ATPase activity, coupled to transmembrane movement of substances (GO:0042626) [0.998] | ATPase activity (GO:0016887) [0.998]","transport (GO:0006810) [0.998] | transmembrane transport (GO:0055085) [0.998] | regulation of transcription, DNA-templated (GO:0006355) [0.002]","4"
"Pn6.3430",2243,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF247 (PF03140) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn6.3598",918,"RING/U-box superfamily protein [0.987] | Threonylcarbamoyl-AMP synthase [0.013]","RING/U-box superfamily protein","RINGv (PF12906) [1.000] | Sua5_yciO_yrdC (PF01300) [0.013] | EamA (PF00892) [0.013]","zinc ion binding (GO:0008270) [1.000] | double-stranded RNA binding (GO:0003725) [0.013]","NULL / Representative annotation below 0.1%","3"
"Pn6.3609",2958,"DWNN domain, a CCHC-type zinc finger [1.000]","DWNN domain, a CCHC-type zinc finger","DWNN (PF08783) [0.953] | U-box (PF04564) [0.093] | zf-CCHC_2 (PF13696) [0.047] | zf-CCHC (PF00098) [0.023] | ASL_C (PF08328) [0.023]","zinc ion binding (GO:0008270) [0.953] | ubiquitin-protein ligase activity (GO:0004842) [0.093] | nucleic acid binding (GO:0003676) [0.023] | N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity (GO:0004018) [0.023]","protein ubiquitination (GO:0016567) [0.093] | IMP biosynthetic process (GO:0006188) [0.023]","3"
"Pn6.3617",841,"Protein kinase superfamily protein [0.375] | Leucine-rich repeat protein kinase family protein [0.362] | Malectin/receptor-like protein kinase family protein [0.125] | protein kinase family protein [0.113] | Leucine-rich receptor-like protein kinase family protein [0.013] | Receptor-like protein kinase 5 [0.013]","Leucine-rich repeat protein kinase family protein","Pkinase_Tyr (PF07714) [0.775] | LRR_8 (PF13855) [0.500] | LRR_1 (PF00560) [0.475] | Pkinase (PF00069) [0.212] | LRR_4 (PF12799) [0.163] | LRR_6 (PF13516) [0.100] | LRR_7 (PF13504) [0.037] | DUF260 (PF03195) [0.013] | DUF2215 (PF10225) [0.013]","protein kinase activity (GO:0004672) [0.988] | protein binding (GO:0005515) [0.475] | ATP binding (GO:0005524) [0.212]","protein phosphorylation (GO:0006468) [0.988]","6"
"Pn6.3620",8202,"Lactoylglutathione lyase / glyoxalase I family protein [1.000]","Lactoylglutathione lyase / glyoxalase I family protein","Glyoxalase_2 (PF12681) [0.640] | Glyoxalase (PF00903) [0.360]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn6.366",5092,"Metallothionein-like protein type 2 [0.594] | Metallothionein-like protein type 2 B [0.156] | metallothionein 2A [0.094] | Metallothionein-like protein 1B [0.031] | Metallothionein-like protein type 2, MT2-18 [0.031] | Metallothionein-like protein 4A [0.031]","metallothionein 2A","Metallothio_2 (PF01439) [1.000]","metal ion binding (GO:0046872) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn6.3733",4896,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [1.000]","P-loop containing nucleoside triphosphate hydrolases superfamily protein","AAA (PF00004) [1.000]","ATP binding (GO:0005524) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn6.3771",349,"Calcium-binding EF-hand family protein [0.475] | Centrin-1 [0.150] | Centrin-2 [0.133] | centrin 2 [0.067] | calmodulin 8 [0.050] | calmodulin 1 [0.042] | Centrin-4 [0.017] | Protein yippee-like [0.008] | calmodulin 5 [0.008] | calmodulin 9 [0.008] | calmodulin 4 [0.008] | calmodulin 6 [0.008] | DnaJ homolog subfamily C member 2 [0.008] | Calcium-binding protein KIC [0.008] | Inosine triphosphate pyrophosphatase family protein [0.008]","Calcium-binding EF-hand family protein | pinoid-binding protein 1","EF-hand_8 (PF13833) [1.000] | Yippee-Mis18 (PF03226) [0.008] | Myb_DNA-binding (PF00249) [0.008]","chromatin binding (GO:0003682) [0.008]","NULL / Representative annotation below 0.1%","5"
"Pn6.3772",2674,"transferases, transferring glycosyl groups [0.457]","transferases, transferring glycosyl groups","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn6.3774",6785,"DNA-directed RNA polymerase subunit M [0.704] | DNA-directed RNA polymerase III subunit RPC10 [0.259]","DNA-directed RNA polymerase, subunit M, archaeal","TFIIS_C (PF01096) [0.963] | RNA_POL_M_15KD (PF02150) [0.333] | Nudix_N_2 (PF14803) [0.185]","nucleic acid binding (GO:0003676) [0.963] | zinc ion binding (GO:0008270) [0.963] | DNA-directed RNA polymerase activity (GO:0003899) [0.333] | DNA binding (GO:0003677) [0.333]","transcription, DNA-templated (GO:0006351) [0.963]","2"
"Pn6.3797",4864,"cytochrome P450, family 76, subfamily C, polypeptide 2 [0.250] | cytochrome P450, family 76, subfamily C, polypeptide 6 [0.250] | cytochrome P450, family 76, subfamily C, polypeptide 4 [0.219] | cytochrome P450, family 76, subfamily C, polypeptide 1 [0.125] | cytochrome P450, family 76, subfamily C, polypeptide 7 [0.125] | cytochrome P450, family 76, subfamily C, polypeptide 3 [0.031]","Unkown protein(s) / No TAIR description(s)","p450 (PF00067) [1.000] | MBD (PF01429) [0.031]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000] | DNA binding (GO:0003677) [0.031]","oxidation-reduction process (GO:0055114) [1.000]","5"
"Pn6.3865",2716,"Phosphatidylglycerol/phosphatidylinositol transfer protein [0.689] | MD-2-related lipid recognition domain-containing protein / ML domain-containing protein [0.289] | MD-2-related lipid recognition domain-containing protein [0.022]","MD-2-related lipid recognition domain-containing protein / ML domain-containing protein | Immunoglobulin E-set superfamily protein | MD-2-related lipid recognition domain-containing protein","E1_DerP2_DerF2 (PF02221) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn6.3874",6327,"U-box domain-containing protein kinase family protein [1.000]","U-box domain-containing protein kinase family protein","Pkinase (PF00069) [0.893] | U-box (PF04564) [0.893] | Usp (PF00582) [0.571] | Pkinase_Tyr (PF07714) [0.071]","protein kinase activity (GO:0004672) [0.964] | ATP binding (GO:0005524) [0.893] | ubiquitin-protein ligase activity (GO:0004842) [0.893]","protein phosphorylation (GO:0006468) [0.964] | protein ubiquitination (GO:0016567) [0.893] | response to stress (GO:0006950) [0.571]","2"
"Pn6.3879",3967,"tRNA (guanine(26)-N(2))-dimethyltransferase [1.000]","N2,N2-dimethylguanosine tRNA methyltransferase","TRM (PF02005) [1.000]","RNA binding (GO:0003723) [1.000] | tRNA (guanine-N2-)-methyltransferase activity (GO:0004809) [1.000]","tRNA processing (GO:0008033) [1.000]","3"
"Pn6.3886",7684,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [0.846] | 23S rRNA (uracil(747)-C(5))-methyltransferase [0.077] | Leucine-rich receptor-like protein kinase family protein [0.038] | 23S rRNA (uracil(747)-C(5))-methyltransferase RlmC [0.038]","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","Cons_hypoth95 (PF03602) [0.462] | MTS (PF05175) [0.269] | LRR_6 (PF13516) [0.038] | LRR_1 (PF00560) [0.038] | LRRNT_2 (PF08263) [0.038] | Met_10 (PF02475) [0.038]","methyltransferase activity (GO:0008168) [0.731] | transferase activity (GO:0016740) [0.038] | protein binding (GO:0005515) [0.038]","rRNA methylation (GO:0031167) [0.462]","3"
"Pn6.3887",11096,"cell wall protein precursor, putative [0.235]","cell wall protein precursor, putative","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn6.3933",7877,"Serine/threonine-protein kinase rio2 [0.720] | Serine/threonine-protein kinase Rio1 [0.240] | protein serine/threonine kinases;ATP binding;catalytics [0.040]","protein serine/threonine kinases;ATP binding;catalytics","RIO1 (PF01163) [1.000] | Rio2_N (PF09202) [0.960] | DUF2054 (PF10218) [0.040]","ATP binding (GO:0005524) [1.000] | catalytic activity (GO:0003824) [1.000] | protein serine/threonine kinase activity (GO:0004674) [0.960]","protein phosphorylation (GO:0006468) [0.960]","3"
"Pn6.3942",11178,"Pentatricopeptide repeat-containing protein [1.000]","Pentatricopeptide repeat (PPR) superfamily protein","PPR (PF01535) [1.000] | PPR_2 (PF13041) [1.000] | PPR_3 (PF13812) [0.353]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn6.3946",952,"HSP20-like chaperones superfamily protein [0.855] | 17.5 kDa class I heat shock protein [0.039] | 17.8 kDa class I heat shock protein [0.026] | 17.6 kDa class I heat shock protein [0.013] | 16.0 kDa heat shock protein, peroxisomal [0.013] | 17.6 kDa class I heat shock protein 3 [0.013]","HSP20-like chaperones superfamily protein","HSP20 (PF00011) [0.908] | Ribonuclease_T2 (PF00445) [0.013]","ribonuclease T2 activity (GO:0033897) [0.013] | RNA binding (GO:0003723) [0.013]","NULL / Representative annotation below 0.1%","5"
"Pn6.3968",604,"Protein kinase superfamily protein [1.000]","Protein kinase superfamily protein | protein tyrosine kinase family protein","EDR1 (PF14381) [0.915] | Pkinase_Tyr (PF07714) [0.904] | Pkinase (PF00069) [0.032] | PAS (PF00989) [0.011] | FKBP_C (PF00254) [0.011]","protein kinase activity (GO:0004672) [0.926] | ATP binding (GO:0005524) [0.032]","protein phosphorylation (GO:0006468) [0.926] | regulation of transcription, DNA-templated (GO:0006355) [0.011] | protein folding (GO:0006457) [0.011]","3"
"Pn6.402",6395,"Decapping nuclease rai1 [0.821] | glycine-rich protein [0.143] | Decapping nuclease RAI1 [0.036]","glycine-rich protein","RAI1 (PF08652) [0.929]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn6.4025",7916,"Tetratricopeptide repeat protein 28 [0.800] | Tetratricopeptide repeat (TPR)-like superfamily protein [0.120] | Stress-induced-phosphoprotein 1 [0.080]","Tetratricopeptide repeat (TPR)-like superfamily protein","TPR_11 (PF13414) [0.840] | TPR_1 (PF00515) [0.720] | TPR_2 (PF07719) [0.240]","protein binding (GO:0005515) [0.720]","NULL / Representative annotation below 0.1%","3"
"Pn6.4053",519,"Protein kinase family protein [0.880] | Leucine-rich repeat protein kinase family protein [0.120]","Protein kinase family protein | Leucine-rich repeat protein kinase family protein","Pkinase_Tyr (PF07714) [0.970] | LRRNT_2 (PF08263) [0.640] | LRR_1 (PF00560) [0.200] | LRR_8 (PF13855) [0.050] | LRR_4 (PF12799) [0.050] | Pkinase (PF00069) [0.040] | F-box-like (PF12937) [0.010] | Glutaredoxin (PF00462) [0.010]","protein kinase activity (GO:0004672) [0.980] | protein binding (GO:0005515) [0.200] | ATP binding (GO:0005524) [0.040] | electron carrier activity (GO:0009055) [0.010] | protein disulfide oxidoreductase activity (GO:0015035) [0.010]","protein phosphorylation (GO:0006468) [0.980] | cell redox homeostasis (GO:0045454) [0.010]","3"
"Pn6.4091",2466,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","Sel1 (PF08238) [0.438] | WI12 (PF07107) [0.021]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn6.4103",1284,"Nuclear transport factor 2 (NTF2) family protein [0.924] | Wound-induced protein 1 [0.076]","Nuclear transport factor 2 (NTF2) family protein | senescence associated gene 20","WI12 (PF07107) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
