"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn6.2698",76,"Homeobox-leucine zipper protein ROC7 [0.231] | Homeobox-leucine zipper protein ANTHOCYANINLESS 2 [0.152] | Homeobox-leucine zipper protein HDG11 [0.105] | Homeobox-leucine zipper protein GLABRA 2 [0.101] | Homeobox-leucine zipper protein ROC3 [0.090] | Homeobox-leucine zipper protein ROC8 [0.076] | Homeobox-leucine zipper protein MERISTEM L1 [0.036] | Homeobox-leucine zipper protein HDG8 [0.036] | Homeobox-leucine zipper protein ROC5 [0.022] | Homeobox-leucine zipper protein HDG1 [0.018] | Homeobox-leucine zipper protein ROC2 [0.018] | Homeobox-leucine zipper protein ROC4 [0.018] | Homeobox-leucine zipper protein ROC1 [0.018] | Homeobox-leucine zipper protein ROC6 [0.014] | Homeobox-leucine zipper protein HDG2 [0.011] | Homeobox-leucine zipper protein HDG7 [0.011] | Homeobox-leucine zipper protein ROC9 [0.007] | Homeobox-leucine zipper protein HDG5 [0.007] | Homeobox-leucine zipper protein HDG9 [0.007] | Homeobox-leucine zipper protein HDG12 [0.007] | Homeobox-leucine zipper protein HDG4 [0.007] | Homeobox-leucine zipper protein HDG3 [0.004] | Homeobox-leucine zipper protein HDG10 [0.004]","Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein | HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain | homeodomain GLABROUS 8 | homeodomain GLABROUS 11 | homeodomain GLABROUS 2 | homeodomain GLABROUS 1 | homeodomain GLABROUS 12 | homeodomain GLABROUS 3 | homeodomain GLABROUS 10 | protodermal factor 2 | homeodomain GLABROUS 7 | homeodomain GLABROUS 9 | homeobox-7 | homeodomain GLABROUS 4","START (PF01852) [0.996] | Homeobox (PF00046) [0.924] | Exo70 (PF03081) [0.004] | PORR (PF11955) [0.004]","lipid binding (GO:0008289) [0.996] | sequence-specific DNA binding (GO:0043565) [0.924] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.924]","regulation of transcription, DNA-templated (GO:0006355) [0.924] | exocytosis (GO:0006887) [0.004]","2"
"Pn6.2842",313,"LAG1 longevity assurance homolog 3 [0.310] | F-box/RNI-like superfamily protein [0.254] | F-box/RNI-like/FBD-like domains-containing protein [0.238] | FBD-associated F-box protein [0.135] | F-box/FBD/LRR-repeat protein [0.048]","F-box/RNI-like superfamily protein | LAG1 longevity assurance homolog 3","F-box (PF00646) [0.524] | TRAM_LAG1_CLN8 (PF03798) [0.310] | FBD (PF08387) [0.246] | LRR_2 (PF07723) [0.143] | F-box-like (PF12937) [0.008] | LIM (PF00412) [0.008]","protein binding (GO:0005515) [0.524] | zinc ion binding (GO:0008270) [0.008]","NULL / Representative annotation below 0.1%","3"
"Pn6.3996",5250,"IQ-domain 19 [1.000]","IQ-domain 19","DUF4005 (PF13178) [1.000] | IQ (PF00612) [0.871] | Snf7 (PF03357) [0.032]","protein binding (GO:0005515) [0.871]","protein transport (GO:0015031) [0.032]","2"
"Pn6.426",232,"Ethylene-responsive transcription factor 5 [0.531] | Ethylene-responsive transcription factor 14 [0.189] | Ethylene-responsive transcription factor 2 [0.063] | Ethylene-responsive transcription factor 1B [0.063] | Ethylene-responsive transcription factor 1A [0.056] | Ethylene-responsive transcription factor 6 [0.056] | Ethylene-responsive transcription factor 15 [0.014] | Ethylene-responsive transcription factor 1 [0.007] | ethylene responsive element binding factor 1 [0.007] | Ethylene-responsive transcription factor 4 [0.007] | Ethylene-responsive transcription factor 8 [0.007]","Integrase-type DNA-binding superfamily protein | ethylene responsive element binding factor 6 | ethylene responsive element binding factor 5 | Ethylene-responsive element binding factor 14","AP2 (PF00847) [0.993]","sequence-specific DNA binding transcription factor activity (GO:0003700) [0.993]","regulation of transcription, DNA-templated (GO:0006355) [0.993]","2"
"Pn6.482",5614,"GATA transcription factor 4 [0.533] | GATA transcription factor 2 [0.367] | GATA transcription factor 9 [0.100]","GATA transcription factor 4 | GATA transcription factor 2","GATA (PF00320) [1.000]","sequence-specific DNA binding (GO:0043565) [1.000] | sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000] | zinc ion binding (GO:0008270) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","2"
"Pn6.601",4197,"Aspartate aminotransferase, mitochondrial [0.857] | aspartate aminotransferase 1 [0.114] | aspartate aminotransferase 2 [0.029]","aspartate aminotransferase 1","Aminotran_1_2 (PF00155) [1.000]","pyridoxal phosphate binding (GO:0030170) [1.000]","biosynthetic process (GO:0009058) [1.000]","4"
"Pn6.931",5614,"GATA transcription factor 4 [0.533] | GATA transcription factor 2 [0.367] | GATA transcription factor 9 [0.100]","GATA transcription factor 4 | GATA transcription factor 2","GATA (PF00320) [1.000]","sequence-specific DNA binding (GO:0043565) [1.000] | sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000] | zinc ion binding (GO:0008270) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","2"
"Pn6.976",232,"Ethylene-responsive transcription factor 5 [0.531] | Ethylene-responsive transcription factor 14 [0.189] | Ethylene-responsive transcription factor 2 [0.063] | Ethylene-responsive transcription factor 1B [0.063] | Ethylene-responsive transcription factor 1A [0.056] | Ethylene-responsive transcription factor 6 [0.056] | Ethylene-responsive transcription factor 15 [0.014] | Ethylene-responsive transcription factor 1 [0.007] | ethylene responsive element binding factor 1 [0.007] | Ethylene-responsive transcription factor 4 [0.007] | Ethylene-responsive transcription factor 8 [0.007]","Integrase-type DNA-binding superfamily protein | ethylene responsive element binding factor 6 | ethylene responsive element binding factor 5 | Ethylene-responsive element binding factor 14","AP2 (PF00847) [0.993]","sequence-specific DNA binding transcription factor activity (GO:0003700) [0.993]","regulation of transcription, DNA-templated (GO:0006355) [0.993]","2"
"Pn7.1193",52,"Wall-associated receptor kinase 2 [0.163] | HXXXD-type acyl-transferase family protein [0.127] | Wall-associated receptor kinase 3 [0.127] | Wall-associated kinase family protein [0.122] | wall-associated kinase 2 [0.119] | Wall-associated receptor kinase 5 [0.099] | wall associated kinase 5 [0.050] | wall associated kinase-like 2 [0.044] | wall associated kinase 3 [0.030] | Wall-associated receptor kinase-like 2 [0.022] | Wall-associated receptor kinase-like 1 [0.014] | Wall-associated receptor kinase 4 [0.014] | Wall-associated receptor kinase-like 22 [0.011] | wall-associated kinase, putative [0.011] | Wall-associated receptor kinase-like 20 [0.008] | Wall-associated receptor kinase 1 [0.008] | wall associated kinase-like 4 [0.006] | Wall-associated receptor kinase-like 9 [0.006] | Wall-associated receptor kinase-like 5 [0.003] | Wall-associated receptor kinase-like 18 [0.003] | wall associated kinase-like 1 [0.003] | wall associated kinase-like 6 [0.003] | Wall-associated receptor kinase-like 8 [0.003] | wall associated kinase-like 5 [0.003] | wall associated kinase 4 [0.003]","Wall-associated kinase family protein | HXXXD-type acyl-transferase family protein | wall-associated kinase, putative | Protein kinase family protein | wall associated kinase-like 2 | wall associated kinase-like 5 | wall associated kinase 5 | wall associated kinase 4 | WALL ASSOCIATED KINASE (WAK)-LIKE 10 | wall-associated kinase 2 | cell wall-associated kinase | wall associated kinase-like 4 | wall associated kinase-like 1 | wall associated kinase 3 | wall associated kinase-like 6","GUB_WAK_bind (PF13947) [0.696] | Pkinase (PF00069) [0.608] | EGF_CA (PF07645) [0.528] | Pkinase_Tyr (PF07714) [0.273] | WAK (PF08488) [0.180] | Transferase (PF02458) [0.130] | EGF (PF00008) [0.017] | LysM (PF01476) [0.014] | cEGF (PF12662) [0.008] | EGF_3 (PF12947) [0.003] | C2 (PF00168) [0.003] | Lectin_legB (PF00139) [0.003]","protein kinase activity (GO:0004672) [0.859] | polysaccharide binding (GO:0030247) [0.696] | ATP binding (GO:0005524) [0.608] | calcium ion binding (GO:0005509) [0.528] | protein serine/threonine kinase activity (GO:0004674) [0.180] | transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [0.130] | protein binding (GO:0005515) [0.019] | carbohydrate binding (GO:0030246) [0.003]","protein phosphorylation (GO:0006468) [0.859] | cell wall macromolecule catabolic process (GO:0016998) [0.014]","2"
"Pn7.1284",125,"respiratory burst oxidase protein F [0.586] | respiratory burst oxidase homologue D [0.262] | respiratory burst oxidase homolog B [0.129] | respiratory burst oxidase homolog A [0.024]","Riboflavin synthase-like superfamily protein | ferric reductase-like transmembrane component family protein | respiratory burst oxidase homologue D | respiratory burst oxidase protein F | NADPH/respiratory burst oxidase protein D | respiratory burst oxidase homolog A | respiratory burst oxidase homolog B","Ferric_reduct (PF01794) [0.990] | FAD_binding_8 (PF08022) [0.990] | NAD_binding_6 (PF08030) [0.957] | NADPH_Ox (PF08414) [0.924] | EF-hand_6 (PF13405) [0.286] | EF-hand_7 (PF13499) [0.019] | EF-hand_5 (PF13202) [0.010] | AAA_2 (PF07724) [0.005] | AAA (PF00004) [0.005] | ClpB_D2-small (PF10431) [0.005] | Clp_N (PF02861) [0.005]","oxidoreductase activity (GO:0016491) [0.990] | peroxidase activity (GO:0004601) [0.924] | oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664) [0.924] | calcium ion binding (GO:0005509) [0.314] | ATP binding (GO:0005524) [0.005]","oxidation-reduction process (GO:0055114) [1.000] | protein metabolic process (GO:0019538) [0.005]","4"
"Pn7.1285",125,"respiratory burst oxidase protein F [0.586] | respiratory burst oxidase homologue D [0.262] | respiratory burst oxidase homolog B [0.129] | respiratory burst oxidase homolog A [0.024]","Riboflavin synthase-like superfamily protein | ferric reductase-like transmembrane component family protein | respiratory burst oxidase homologue D | respiratory burst oxidase protein F | NADPH/respiratory burst oxidase protein D | respiratory burst oxidase homolog A | respiratory burst oxidase homolog B","Ferric_reduct (PF01794) [0.990] | FAD_binding_8 (PF08022) [0.990] | NAD_binding_6 (PF08030) [0.957] | NADPH_Ox (PF08414) [0.924] | EF-hand_6 (PF13405) [0.286] | EF-hand_7 (PF13499) [0.019] | EF-hand_5 (PF13202) [0.010] | AAA_2 (PF07724) [0.005] | AAA (PF00004) [0.005] | ClpB_D2-small (PF10431) [0.005] | Clp_N (PF02861) [0.005]","oxidoreductase activity (GO:0016491) [0.990] | peroxidase activity (GO:0004601) [0.924] | oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664) [0.924] | calcium ion binding (GO:0005509) [0.314] | ATP binding (GO:0005524) [0.005]","oxidation-reduction process (GO:0055114) [1.000] | protein metabolic process (GO:0019538) [0.005]","4"
"Pn7.1358",8573,"BEST Arabidopsis thaliana protein match is: transcription regulators . [0.583]","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn7.1380",7672,"Homeodomain-like superfamily protein [0.962]","Unkown protein(s) / No TAIR description(s)","Myb_DNA-binding (PF00249) [0.962]","chromatin binding (GO:0003682) [0.962]","NULL / Representative annotation below 0.1%","5"
"Pn7.1478",917,"Tyrosine transaminase family protein [1.000]","Tyrosine transaminase family protein","Aminotran_1_2 (PF00155) [1.000]","pyridoxal phosphate binding (GO:0030170) [1.000]","biosynthetic process (GO:0009058) [1.000]","4"
"Pn7.1523",2165,"Copper amine oxidase family protein [1.000]","Copper amine oxidase family protein","Cu_amine_oxid (PF01179) [1.000] | Cu_amine_oxidN3 (PF02728) [0.980] | Cu_amine_oxidN2 (PF02727) [0.843]","quinone binding (GO:0048038) [1.000] | primary amine oxidase activity (GO:0008131) [1.000] | copper ion binding (GO:0005507) [1.000]","amine metabolic process (GO:0009308) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","5"
"Pn7.1762",11478,"Non-specific lipid-transfer protein [0.467] | Non-specific lipid-transfer protein 1 [0.400] | Non-specific lipid-transfer protein 2 [0.133]","Unkown protein(s) / No TAIR description(s)","Tryp_alpha_amyl (PF00234) [0.533] | LTP_2 (PF14368) [0.400]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn7.1810",1266,"NAD(P)-binding Rossmann-fold superfamily protein [0.636] | dihydroflavonol 4-reductase [0.076]","Unkown protein(s) / No TAIR description(s)","Epimerase (PF01370) [0.636] | DUF3593 (PF12159) [0.303] | 3Beta_HSD (PF01073) [0.015] | NAD_binding_10 (PF13460) [0.015]","coenzyme binding (GO:0050662) [0.636] | catalytic activity (GO:0003824) [0.636] | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616) [0.015] | 3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854) [0.015]","cellular metabolic process (GO:0044237) [0.636] | steroid biosynthetic process (GO:0006694) [0.015] | oxidation-reduction process (GO:0055114) [0.015]","1"
"Pn7.865",2210,"Regulator of chromosome condensation (RCC1) family protein [1.000]","Regulator of chromosome condensation (RCC1) family protein","RCC1 (PF00415) [0.980] | RCC1_2 (PF13540) [0.549]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn8.2152",3804,"Nucleotide-diphospho-sugar transferases superfamily protein [0.973] | wall associated kinase-like 1 [0.027]","Nucleotide-diphospho-sugar transferases superfamily protein","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn8.2427",813,"Homeobox-leucine zipper protein family [0.500] | homeobox-leucine zipper protein 3 [0.390] | homeobox-leucine zipper protein 4 [0.110]","homeobox from Arabidopsis thaliana | homeobox protein 2 | Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein","HALZ (PF02183) [1.000] | Homeobox (PF00046) [1.000] | HD-ZIP_N (PF04618) [0.622]","sequence-specific DNA binding (GO:0043565) [1.000] | DNA binding (GO:0003677) [1.000] | sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","1"
"Pn8.2446",227,"tonoplast intrinsic protein 1;3 [0.445] | tonoplast intrinsic protein 2;3 [0.301] | tonoplast intrinsic protein 2 [0.178] | tonoplast intrinsic protein 2;2 [0.075]","tonoplast intrinsic protein 2;3 | delta tonoplast integral protein | gamma tonoplast intrinsic protein | Aquaporin-like superfamily protein | tonoplast intrinsic protein 1;3 | tonoplast intrinsic protein 2;2 | beta-tonoplast intrinsic protein","MIP (PF00230) [1.000]","transporter activity (GO:0005215) [1.000]","transport (GO:0006810) [1.000]","2"
"Pn8.2499",165,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [0.989]","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | Auxin-Induced in Root cultures 1","Hydrophob_seed (PF14547) [0.972] | Tryp_alpha_amyl (PF00234) [0.028] | GRP (PF07172) [0.006]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn8.2503",2372,"Major facilitator superfamily protein [0.776] | nitrate transporter 1.1 [0.224]","nitrate transporter 1.1","PTR2 (PF00854) [1.000]","transporter activity (GO:0005215) [1.000]","transport (GO:0006810) [1.000]","2"
"Pn8.2544",6818,"U-box domain-containing protein 16 [1.000]","ARM repeat superfamily protein","U-box (PF04564) [1.000] | Arm (PF00514) [0.926]","ubiquitin-protein ligase activity (GO:0004842) [1.000] | protein binding (GO:0005515) [0.926]","protein ubiquitination (GO:0016567) [1.000]","2"
"Pn8.2600",6678,"Pollen Ole e 1 allergen and extensin family protein [0.250]","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn8.2665",729,"Pectin lyase-like superfamily protein [1.000]","Pectin lyase-like superfamily protein","Glyco_hydro_28 (PF00295) [1.000] | zf-RVT (PF13966) [0.012] | HD_3 (PF13023) [0.012]","polygalacturonase activity (GO:0004650) [1.000] | metal ion binding (GO:0046872) [0.012] | phosphoric diester hydrolase activity (GO:0008081) [0.012]","carbohydrate metabolic process (GO:0005975) [1.000]","6"
"Pn8.2666",10098,"Zinc-binding dehydrogenase family protein [1.000]","Zinc-binding dehydrogenase family protein","ADH_zinc_N (PF00107) [1.000] | Glyco_hydro_28 (PF00295) [0.048]","oxidoreductase activity (GO:0016491) [1.000] | zinc ion binding (GO:0008270) [1.000] | polygalacturonase activity (GO:0004650) [0.048]","oxidation-reduction process (GO:0055114) [1.000] | carbohydrate metabolic process (GO:0005975) [0.048]","3"
"Pn8.271",2212,"AP2/B3 transcription factor family protein [0.922] | AP2/B3-like transcriptional factor family protein [0.078]","AP2/B3-like transcriptional factor family protein","B3 (PF02362) [1.000] | MatK_N (PF01824) [0.020]","DNA binding (GO:0003677) [1.000]","NULL / Representative annotation below 0.1%","2"
"Pn8.2745",9896,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn8.2794",3165,"Glucose-6-phosphate/phosphate translocator-related [0.537] | Triose phosphate/phosphate translocator, chloroplastic [0.463]","Glucose-6-phosphate/phosphate translocator-related","TPT (PF03151) [0.951] | EamA (PF00892) [0.439]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
